Código;Ubicación;Fecha (AAAA-MM-DD);Precipitación (mm);ETo (P.Monteith mm);Temperatura media (ºC);Temperatura máxima (ºC);Temperatura mínima (ºC);Humedad relativa media (%);Humedad relativa máxima (%);Humedad relativa mínima (%);Vel. viento media (m/s);Dir. viento (º);Vel. viento máxima (m/s);Dir. viento racha máxima (º);Radiación total diaria (MJ/m2)
AV01;Nava de Arévalo;2021-01-16;0.00;0.26;-6.97;1.36;-13.31;99.70;100.00;96.20;0.79;196.10;2.86;335.80;10.65
AV101;Muñogalindo;2021-01-16;0.00;1.45;-4.83;8.81;-12.56;71.10;98.60;23.02;2.09;98.70;3.80;94.20;13.62
BU02;Valle de Valdelucio;2021-01-16;0.20;0.77;-1.81;8.19;-5.77;92.60;100.00;39.93;1.23;274.70;5.00;293.80;8.78
BU03;Lerma;2021-01-16;0.00;0.29;-3.72;-1.44;-5.44;99.10;100.00;97.70;0.23;272.70;1.26;138.10;3.85
BU04;Tardajos;2021-01-16;0.00;0.28;-3.72;-1.54;-6.02;96.90;97.90;95.60;0.78;228.40;2.70;208.90;3.51
BU05;Vadocondes;2021-01-16;0.00;0.25;-5.62;-1.58;-9.56;100.00;100.00;99.90;0.57;234.60;2.23;256.70;6.62
BU07;Santa Gadea del Cid;2021-01-16;0.00;0.54;3.04;9.62;-1.77;83.30;97.20;58.85;0.83;313.60;2.81;291.20;8.43
BU101;Valle de Losa;2021-01-16;0.20;0.17;-1.34;6.08;-6.05;92.70;95.50;73.40;0.05;327.80;2.78;248.00;12.06
BU102;Condado de Treviño;2021-01-16;0.00;0.27;4.29;10.14;-0.06;78.94;94.60;52.17;0.07;0.21;3.05;0.33;8.60
LE01;Carracedelo;2021-01-16;0.21;0.39;-1.59;10.43;-6.59;87.00;96.80;46.36;0.28;117.70;1.63;169.00;7.22
LE02;Mansilla mayor;2021-01-16;0.00;0.26;-4.53;-1.89;-7.07;100.00;100.00;100.00;0.52;34.40;2.26;216.90;3.84
LE03;Cubillas de los Oteros;2021-01-16;0.00;0.27;-5.01;-2.97;-7.01;97.60;98.70;96.20;0.39;169.80;2.00;216.50;3.27
LE04;Zotes del Páramo;2021-01-16;0.20;0.30;-4.28;-1.61;-6.34;98.10;99.70;96.70;0.03;238.50;1.54;197.60;3.18
LE05;Quintana del Marco;2021-01-16;0.00;0.28;-3.78;-1.17;-5.46;99.80;100.00;99.10;0.39;95.50;1.72;90.90;3.25
LE06;Hospital de Orbigo;2021-01-16;0.00;0.25;-4.92;-1.04;-7.84;98.70;100.00;96.90;0.49;178.80;2.37;153.00;5.73
LE07;Bustillo del Páramo;2021-01-16;0.00;0.25;-5.05;-0.09;-8.76;99.70;100.00;97.60;0.60;154.90;2.94;159.70;5.29
LE08;Sahagún;2021-01-16;0.00;0.26;-4.93;-1.74;-7.83;99.60;100.00;98.80;0.44;138.90;2.04;229.40;3.87
LE09;Santas Martas;2021-01-16;0.20;0.25;-4.62;-0.96;-7.77;99.70;99.90;98.70;0.62;198.90;2.64;182.10;4.87
P01;Torquemada;2021-01-16;0.00;0.28;-4.12;-1.94;-6.33;97.30;98.60;95.80;0.48;184.20;2.42;210.90;3.50
P02;Villamuriel de Cerrato;2021-01-16;0.00;0.30;-3.19;-0.99;-5.04;100.00;100.00;100.00;0.23;179.10;1.40;172.30;3.31
P03;Fuentes de Nava;2021-01-16;0.00;0.31;-3.39;-1.61;-4.96;97.50;98.40;96.60;0.13;192.30;1.48;188.30;3.13
P04;Villoldo;2021-01-16;0.00;0.27;-3.80;-1.64;-5.74;100.00;100.00;99.90;0.53;215.40;2.56;252.20;3.64
P06;Herrera de Pisuerga;2021-01-16;0.00;0.25;-6.29;-4.72;-7.71;99.70;100.00;98.90;0.54;187.50;1.94;202.70;2.84
P07;Villaluenga de la Vega;2021-01-16;0.00;0.30;-3.39;3.19;-7.36;94.60;99.10;78.40;0.71;175.60;3.38;159.60;9.51
P08;Lantadilla;2021-01-16;0.00;0.29;-3.77;-1.69;-5.74;97.60;98.60;96.50;0.42;262.90;2.35;216.90;2.99
P101;Villaeles de Valdavia;2021-01-16;0.00;0.33;-3.39;1.40;-7.29;92.74;98.10;80.80;1.67;335.41;4.19;334.40;10.42
SA01;Ciudad Rodrigo;2021-01-16;0.00;0.68;-0.32;10.63;-4.38;77.09;100.00;26.13;0.53;146.00;2.50;183.60;8.46
SA03;Aldearrubia;2021-01-16;0.40;0.28;-3.81;2.03;-7.99;100.00;100.00;100.00;0.64;123.90;3.06;64.42;9.02
