Código|Ubicación|Fecha (AAAA-MM-DD)|Precipitación (mm)|ETo (P.Monteith mm)|Temperatura media (ºC)|Temperatura máxima (ºC)|Temperatura mínima (ºC)|Humedad relativa media (%)|Humedad relativa máxima (%)|Humedad relativa mínima (%)|Vel. viento media (m/s)|Dir. viento (º)|Vel. viento máxima (m/s)|Dir. viento racha máxima (º)|Radiación total diaria (MJ/m2)
AV01|NAVA_DE_ARÉVALO|2021-01-01|0.2|0.65|0.63|4.3|-2.5|93.2|100.0|71.9|4.45|279.7|8.6|266.1|7.65
AV101|MUÑOGALINDO|2021-01-01|0.2|0.57|-0.21|1.42|-1.89|86.9|99.1|74.84|5.86|105.5|12.69|114.1|7.95
BU02|VALLE_DE_VALDELUCIO|2021-01-01|0.61|0.59|-1.23|3.29|-4.37|88.5|99.9|59.76|2.17|299.0|9.22|288.0|5.5
BU03|LERMA|2021-01-01|0.81|0.45|0.42|5.3|-2.83|90.3|100.0|68.87|1.34|295.4|6.24|270.7|6.19
BU04|TARDAJOS|2021-01-01|0.6|0.52|-0.1|4.36|-3.14|89.0|97.4|69.68|2.0|292.5|8.86|261.1|5.66
BU05|VADOCONDES|2021-01-01|0.4|0.44|0.73|3.74|-1.83|96.8|100.0|80.1|2.67|266.9|7.58|244.3|5.27
BU07|SANTA_GADEA_DEL_CID|2021-01-01|0.6|0.7|2.59|6.58|0.05|82.6|95.1|62.99|2.34|287.9|9.23|326.1|5.93
BU101|VALLE_DE_LOSA|2021-01-01|1.42|0.41|1.06|4.19|-0.57|91.7|96.1|77.7|1.54|255.6|8.02|229.7|4.61
BU102|CONDADO_DE_TREVIÑO|2021-01-01|0.2|0.47|1.76|5.1|-0.73|87.1|96.5|62.6|1.11|0.19|8.0|0.19|5.43
LE01|CARRACEDELO|2021-01-01|0.41|0.6|2.86|6.17|-1.81|80.3|94.3|66.99|1.67|257.4|5.75|284.8|4.07
LE02|MANSILLA_MAYOR|2021-01-01|0.2|0.56|-0.28|4.95|-5.34|90.2|100.0|61.53|1.93|294.0|7.79|255.2|6.95
LE03|CUBILLAS_DE_LOS_OTEROS|2021-01-01|0.0|0.85|-0.02|5.45|-3.22|82.5|93.7|54.02|2.78|305.8|9.4|296.2|7.36
LE04|ZOTES_DEL_PÁRAMO|2021-01-01|0.0|0.74|0.23|4.81|-3.5|81.9|95.0|62.31|3.15|318.9|9.68|320.1|7.34
LE05|QUINTANA_DEL_MARCO|2021-01-01|0.0|0.73|0.83|6.36|-4.14|79.57|95.5|57.08|2.29|304.4|8.17|319.4|7.79
LE06|HOSPITAL_DE_ORBIGO|2021-01-01|0.0|0.64|0.56|3.81|-2.59|82.1|93.9|67.92|3.44|302.9|9.7|309.6|7.98
LE07|BUSTILLO_DEL_PÁRAMO|2021-01-01|0.0|0.71|-0.03|4.24|-4.49|88.1|100.0|62.76|3.61|293.2|9.3|268.5|6.9
LE08|SAHAGÚN|2021-01-01|0.2|0.63|-0.41|4.2|-3.44|82.1|98.2|60.67|2.2|305.9|7.92|286.5|5.89
LE09|SANTAS_MARTAS|2021-01-01|0.2|0.68|-0.83|4.39|-3.69|90.0|99.9|64.88|3.26|300.9|9.06|315.5|6.21
P01|TORQUEMADA|2021-01-01|0.0|0.72|0.3|4.33|-3.46|84.8|96.5|61.23|2.69|265.4|8.25|314.3|5.25
P02|VILLAMURIEL_DE_CERRATO|2021-01-01|0.21|0.73|0.6|5.74|-2.91|85.2|100.0|57.2|2.33|320.3|11.38|333.1|6.35
P03|FUENTES_DE_NAVA|2021-01-01|0.2|0.59|-0.34|5.5|-3.55|87.7|97.4|62.4|1.86|278.8|9.02|279.5|6.86
P04|VILLOLDO|2021-01-01|0.2|0.65|-0.3|4.48|-3.45|89.0|100.0|65.51|3.01|298.1|10.01|336.1|6.38
P06|HERRERA_DE_PISUERGA|2021-01-01|0.21|0.51|-2.57|1.73|-7.25|92.4|100.0|63.33|2.07|299.8|8.34|294.6|5.54
P07|VILLALUENGA_DE_LA_VEGA|2021-01-01|0.0|0.45|-0.16|3.48|-2.81|85.7|94.1|71.4|1.82|323.8|7.09|323.7|6.7
P08|LANTADILLA|2021-01-01|0.0|0.61|-0.07|3.5|-3.67|88.8|98.6|65.21|2.72|290.6|8.02|267.1|5.49
P101|VILLAELES_DE_VALDAVIA|2021-01-01|0.0|1.18|-1.14|2.81|-4.15|83.72|97.6|3.91|2.42|141.35|8.15|115.6|7.62
SA01|CIUDAD_RODRIGO|2021-01-01|0.0|1.03|2.36|6.29|-1.35|0.33|0.33|0.33|0.78|273.9|5.24|317.5|5.18
SA03|ALDEARRUBIA|2021-01-01|0.2|0.65|0.73|5.0|-2.9|91.3|100.0|65.86|2.86|288.5|7.93|287.8|8.36
SA101|ARABAYONA|2021-01-01|0.0|0.34|0.17|4.35|-2.62|86.6|95.6|61.73|0.57|245.3|1.5|263.4|8.68
SA102|EJEME|2021-01-01|0.2|0.59|1.04|5.89|-2.06|85.4|95.4|59.51|1.21|63.99|3.99|80.3|6.04
SG01|GOMEZSERRACÍN|2021-01-01|0.0|0.59|0.67|4.56|-2.28|90.4|100.0|69.12|2.43|273.4|8.05|333.5|5.38
SG02|NAVA_DE_LA_ASUNCIÓN|2021-01-01|0.0|0.23|0.15|3.64|-2.81|99.9|100.0|96.1|3.23|285.2|9.19|285.4|6.37
SO01|ALMAZÁN|2021-01-01|2.16|0.51|-0.14|2.12|-2.84|92.8|100.0|75.6|3.24|288.3|8.69|303.6|4.31
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-01-01|0.41|0.78|0.65|3.5|-1.71|81.3|90.0|67.56|3.71|277.5|8.97|279.6|4.95
SO03|FUENTECANTOS|2021-01-01|1.01|0.44|-1.33|1.83|-6.15|89.2|100.0|73.7|2.31|254.8|10.28|271.2|5.93
SO101|HINOJOSA_DEL_CAMPO|2021-01-01|2.0|0.44|-1.28|1.6|-6.0|91.9|100.0|77.5|2.79|306.3|10.94|277.6|4.88
VA01|MAYORGA|2021-01-01|0.0|0.64|0.16|5.88|-3.93|81.8|94.6|54.92|1.69|277.6|8.6|267.3|7.77
VA02|TORRECILLA_DE_LA_ORDEN|2021-01-01|0.2|0.8|0.8|5.04|-2.5|87.3|97.2|66.14|4.35|272.2|10.5|273.2|7.94
VA03|OLMEDO|2021-01-01|0.0|0.65|0.91|5.16|-2.43|86.3|100.0|67.23|2.94|267.2|8.52|263.1|7.53
VA05|ENCINAS_DE_ESGUEVA|2021-01-01|0.41|0.58|0.87|5.04|-3.67|82.5|94.4|62.21|1.66|256.2|6.95|281.3|6.4
VA06|TORDESILLAS|2021-01-01|0.0|0.66|1.52|6.24|-1.88|82.4|98.5|59.18|1.94|287.2|6.54|304.9|7.65
