Municipio;Cod_Municipio;Provincia;Cod_Provincia;Cod_INE;Población;Mancomunidades;Entidades Locales Menores;Comarca;Longitud;Latitud;CoordenadaX;CoordenadaY;Posición;presencia_de_comercio
CASTRONUÑO;45;VALLADOLID;47;47045;825;BAJO DUERO;;;-5.262498;41.390485;310841.6;4584576.18;41.39048499906404,-5.262498;0
CIGALES;50;VALLADOLID;47;47050;5299;BAJO PISUERGA,VALLADOLID Y ALFOZ;;;-4.699857;41.758128;358687.67;4624318.3;41.758127999062616,-4.699857;0
COGECES DE ÍSCAR;53;VALLADOLID;47;47053;142;ALVISAN,RIO ERESMA;;;-4.546162;41.406704;370765.99;4585060.12;41.40670399906397,-4.546162;0
CORRALES DE DUERO;56;VALLADOLID;47;47056;109;CAMPO DE PEÑAFIEL;;;-4.04931;41.670637;412651.39;4613740.28;41.67063699906294,-4.04931;0
CUBILLAS DE SANTA MARTA;57;VALLADOLID;47;47057;352;ARROYO DEL PONTÓN,BAJO PISUERGA;;;-4.613114;41.834422;366057.95;4632650.31;41.83442199906235,-4.613114;0
CUENCA DE CAMPOS;58;VALLADOLID;47;47058;208;ZONA NORTE DE VALLADOLID;;;-5.055907;42.057474;329884.17;4658202.48;42.05747399906158,-5.055907;0
CURIEL DE DUERO;59;VALLADOLID;47;47059;118;CAMPO DE PEÑAFIEL;;;-4.099193;41.639944;408455.43;4610384.38;41.63994399906306,-4.099193;0
EL CAMPILLO;31;VALLADOLID;47;47031;219;MEDINA DEL CAMPO Y ALFOZ,TIERRAS DE MEDINA;;;-5.013082;41.25718;331351.89;4569261.23;41.25717999906459,-5.013082;0
ESGUEVILLAS DE ESGUEVA;61;VALLADOLID;47;47061;269;VALLE DEL ESGUEVA;;;-4.379978;41.751634;385268.89;4623121.15;41.75163399906265,-4.379978000000001;0
FUENSALDAÑA;66;VALLADOLID;47;47066;1996;BAJO PISUERGA,EL PORTILLEJO,VALLADOLID Y ALFOZ;;;-4.765417;41.707279;353121.48;4618782.3;41.707278999062815,-4.765417;0
FUENTE-OLMEDO;68;VALLADOLID;47;47068;34;LAS MURALLAS,RIO ERESMA;;;-4.647202;41.24473;361978.98;4567233.17;41.24472999906465,-4.647202;0
GALLEGOS DE HORNIJA;69;VALLADOLID;47;47069;111;SERMAN (SERVICIOS MANCOMUNADOS);;;-5.097806;41.609545;325201.95;4608551.39;41.60954499906317,-5.0978059999999985;0
GATÓN DE CAMPOS;70;VALLADOLID;47;47070;27;ZONA NORTE DE VALLADOLID;;;-4.978973;42.050046;336231.25;4657227.51;42.050045999061595,-4.978972999999999;0
GERIA;71;VALLADOLID;47;47071;512;TOROZOS,VALLADOLID Y ALFOZ;;;-4.875663;41.579096;343639.19;4604744.27;41.57909599906329,-4.875663;0
HERRÍN DE CAMPOS;73;VALLADOLID;47;47073;119;ZONA NORTE DE VALLADOLID;;;-4.953451;42.123631;338530.2;4665349.58;42.12363099906136,-4.953451000000001;0
HORNILLOS DE ERESMA;74;VALLADOLID;47;47074;174;LAS MURALLAS,TIERRAS DEL ADAJA;;;-4.719939;41.366127;356151.1;4580829.07;41.366126999064136,-4.719939000000001;0
LA UNIÓN DE CAMPOS;176;VALLADOLID;47;47176;216;ZONA NORTE DE VALLADOLID;;;-5.324877;42.075949;307682.86;4660824.28;42.075948999061524,-5.324877;0
LLANO DE OLMEDO;79;VALLADOLID;47;47079;59;LAS MURALLAS,RIO ERESMA;;;-4.612954;41.268111;364896.95;4569775.16;41.26811099906456,-4.612954;0
MEDINA DE RIOSECO;86;VALLADOLID;47;47086;4550;CAMPOS GÓTICOS;;;-5.043182;41.883071;330475.11;4638812.32;41.88307099906218,-5.043182;0
MONASTERIO DE VEGA;91;VALLADOLID;47;47091;79;ZONA NORTE DE VALLADOLID;;;-5.180445;42.230913;320070.79;4677716.51;42.23091299906102,-5.180444999999999;0
MONTEALEGRE DE CAMPOS;92;VALLADOLID;47;47092;103;CAMPOS GÓTICOS;;;-4.898492;41.902443;342528.32;4640687.37;41.902442999062096,-4.898492;0
MONTEMAYOR DE PILILLA;93;VALLADOLID;47;47093;852;COMARCA DE LA CHURRERIA,PINODUERO;;;-4.458115;41.507564;378314.22;4596130.19;41.50756399906358,-4.458114999999999;0
MORAL DE LA REINA;94;VALLADOLID;47;47094;150;ZONA NORTE DE VALLADOLID;;;-5.067824;41.985616;328705.16;4650247.4;41.985615999061814,-5.067823999999999;0
MORALEJA DE LAS PANADERAS;95;VALLADOLID;47;47095;47;MEDINA DEL CAMPO Y ALFOZ,TIERRAS DE MEDINA,TIERRAS DEL ADAJA;;;-4.825629;41.276581;347102.06;4571068.17;41.27658099906453,-4.825629000000002;0
MORALES DE CAMPOS;96;VALLADOLID;47;47096;141;CAMPOS GÓTICOS;;;-5.174475;41.859982;319516.05;4636516.4;41.859981999062256,-5.174475;0
MOTA DEL MARQUÉS;97;VALLADOLID;47;47097;349;SERMAN (SERVICIOS MANCOMUNADOS);;;-5.178853;41.632507;318512.86;4611268.39;41.6325069990631,-5.178852999999999;0
MUCIENTES;98;VALLADOLID;47;47098;642;BAJO PISUERGA,EL PORTILLEJO,VALLADOLID Y ALFOZ;;;-4.760791;41.743862;353589.52;4622836.32;41.743861999062666,-4.760791000000001;0
NAVA DEL REY;101;VALLADOLID;47;47101;1968;MEDINA DEL CAMPO Y ALFOZ,TIERRAS DE MEDINA,VEGA DEL DUERO;;;-5.081659;41.330492;325801.77;4577536.19;41.33049199906429,-5.081659000000001;0
OLIVARES DE DUERO;103;VALLADOLID;47;47103;313;PINODUERO,VALLE DEL ESGUEVA;;;-4.366923;41.638349;386154.71;4610526.2;41.63834899906306,-4.366923000000001;0
OLMEDO;104;VALLADOLID;47;47104;3574;LAS MURALLAS,TIERRAS DEL ADAJA;;;-4.684735;41.288881;358929.0;4572195.15;41.288880999064475,-4.684734999999999;0
PEDRAJAS DE SAN ESTEBAN;112;VALLADOLID;47;47112;3334;ALVISAN,RIO ERESMA;;;-4.583985;41.341869;367472.95;4577919.11;41.34186899906424,-4.583985;0
PESQUERA DE DUERO;116;VALLADOLID;47;47116;434;CAMPO DE PEÑAFIEL;;;-4.155937;41.641261;403731.5;4610592.36;41.64126099906306,-4.155936999999999;0
PIÑA DE ESGUEVA;117;VALLADOLID;47;47117;318;VALLE DEL ESGUEVA;;;-4.428181;41.729762;381220.89;4620758.17;41.72976199906273,-4.428181;0
PIÑEL DE ARRIBA;119;VALLADOLID;47;47119;92;CAMPO DE PEÑAFIEL;;;-4.12805;41.699443;406138.54;4617021.26;41.699442999062846,-4.12805;0
POLLOS;121;VALLADOLID;47;47121;611;BAJO DUERO;;;-5.125271;41.443478;322459.74;4590169.14;41.44347799906383,-5.125271;0
POZALDEZ;124;VALLADOLID;47;47124;473;MEDINA DEL CAMPO Y ALFOZ,TIERRAS DE MEDINA;;;-4.846038;41.371983;345618.08;4581696.12;41.37198299906413,-4.846038;0
QUINTANILLA DEL MOLAR;128;VALLADOLID;47;47128;57;ZONA NORTE DE VALLADOLID;;;-5.44962;41.989635;297088.82;4651528.26;41.9896349990618,-5.449620000000001;0
ROTURAS;137;VALLADOLID;47;47137;29;;;;-4.11838;41.667032;406896.48;4613412.32;41.66703199906296,-4.118379999999999;0
RUBÍ DE BRACAMONTE;138;VALLADOLID;47;47138;215;MEDINA DEL CAMPO Y ALFOZ,TIERRAS DE MEDINA;;;-4.924443;41.214452;338673.03;4564349.24;41.214451999064785,-4.924443;0
SAN CEBRIÁN DE MAZOTE;142;VALLADOLID;47;47142;122;SERMAN (SERVICIOS MANCOMUNADOS);;;-5.147121;41.680875;321289.94;4616572.43;41.6808749990629,-5.147121;0
SAN MIGUEL DEL ARROYO;145;VALLADOLID;47;47145;658;COMARCA DE LA CHURRERIA,TIERRA DE PINARES;SANTIAGO DEL ARROYO;;-4.460903;41.442199;377958.97;4588877.18;41.442198999063834,-4.460903;0
SAN PELAYO;149;VALLADOLID;47;47149;48;SERMAN (SERVICIOS MANCOMUNADOS);;;-5.034048;41.681384;330703.06;4616400.39;41.68138399906291,-5.034048;0
SAN SALVADOR;151;VALLADOLID;47;47151;24;SERMAN (SERVICIOS MANCOMUNADOS);;;-5.088766;41.620959;325985.97;4609800.4;41.62095899906313,-5.088765999999999;0
SAN VICENTE DEL PALACIO;156;VALLADOLID;47;47156;160;TIERRAS DE MEDINA;;;-4.852086;41.218675;344749.06;4564686.21;41.21867499906477,-4.852086;0
SANTERVÁS DE CAMPOS;153;VALLADOLID;47;47153;110;ZONA NORTE DE VALLADOLID;;;-5.100967;42.21716;326591.9;4676024.56;42.21715999906106,-5.100967;0
SIMANCAS;161;VALLADOLID;47;47161;5315;TIERRAS DE VALLADOLID,TOROZOS,VALLADOLID Y ALFOZ;;;-4.827798;41.590468;347656.27;4605921.27;41.59046799906325,-4.8277980000000005;0
TORDEHUMOS;164;VALLADOLID;47;47164;406;CAMPOS GÓTICOS;;;-5.160723;41.813274;320527.03;4631301.42;41.813273999062424,-5.160723;0
TORRECILLA DE LA ABADESA;166;VALLADOLID;47;47166;270;BAJO DUERO;;;-5.08904;41.485726;325599.83;4594786.18;41.48572599906366,-5.08904;0
TORRECILLA DE LA ORDEN;167;VALLADOLID;47;47167;240;TIERRAS DE MEDINA;;;-5.222893;41.219535;313666.69;4565510.39;41.21953499906476,-5.222893;0
TRASPINEDO;173;VALLADOLID;47;47173;1149;COMARCA DE LA CHURRERIA,PINODUERO;;;-4.475919;41.582491;376970.5;4604474.19;41.58249099906327,-4.475919;0
TRIGUEROS DEL VALLE;174;VALLADOLID;47;47174;309;ARROYO DEL PONTÓN,BAJO PISUERGA;;;-4.651435;41.830167;362866.86;4632238.32;41.830166999062364,-4.651434999999999;0
VALBUENA DE DUERO;179;VALLADOLID;47;47179;436;CAMPO DE PEÑAFIEL;SAN BERNARDO;;-4.292685;41.642469;392344.66;4610888.24;41.642468999063055,-4.292685;0
VALLADOLID;186;VALLADOLID;47;47186;297775;TIERRAS DE VALLADOLID,VALLADOLID Y ALFOZ;;;-4.723349;41.652328;356499.5;4612610.28;41.65232799906302,-4.723348999999999;0
VALORIA LA BUENA;184;VALLADOLID;47;47184;678;BAJO PISUERGA;;;-4.530895;41.800538;372818.02;4628763.24;41.80053799906246,-4.530894999999999;0
VEGA DE RUIPONCE;187;VALLADOLID;47;47187;85;ZONA NORTE DE VALLADOLID;;;-5.112883;42.189383;325531.92;4672964.53;42.189382999061145,-5.112883;0
VELILLA;190;VALLADOLID;47;47190;115;TOROZOS,VEGA DEL DUERO;;;-5.005444;41.557855;332765.01;4602629.28;41.55785499906338,-5.005444;0
VELLIZA;191;VALLADOLID;47;47191;118;TOROZOS,VEGA DEL DUERO;;;-4.946624;41.578555;337722.09;4604815.29;41.57855499906329,-4.946624;0
VILLACARRALÓN;198;VALLADOLID;47;47198;72;ZONA NORTE DE VALLADOLID;;;-5.043635;42.190792;331254.0;4672981.57;42.19079199906115,-5.043634999999999;0
VILLACID DE CAMPOS;199;VALLADOLID;47;47199;81;ZONA NORTE DE VALLADOLID;;;-5.125034;42.081421;324230.06;4661001.45;42.08142099906149,-5.125034;0
VILLAFRECHÓS;205;VALLADOLID;47;47205;462;CAMPOS GÓTICOS;;;-5.218732;41.893601;315939.06;4640343.39;41.89360099906214,-5.218731999999999;0
VILLAGARCÍA DE CAMPOS;207;VALLADOLID;47;47207;282;CAMPOS GÓTICOS;;;-5.192977;41.780862;317756.0;4627770.45;41.78086199906253,-5.192977;0
VILLALAR DE LOS COMUNEROS;210;VALLADOLID;47;47210;473;BAJO DUERO;;;-5.137463;41.548974;321730.83;4601907.29;41.54897399906342,-5.137463;0
VILLALBA DE LA LOMA;211;VALLADOLID;47;47211;46;ZONA NORTE DE VALLADOLID;;;-5.19036;42.174231;319090.85;4671443.45;42.174230999061194,-5.19036;0
VILLALÓN DE CAMPOS;214;VALLADOLID;47;47214;1526;ZONA NORTE DE VALLADOLID;;;-5.034294;42.098539;331781.15;4662719.53;42.09853899906145,-5.034294000000001;0
VILLANUEVA DE DUERO;218;VALLADOLID;47;47218;1227;TIERRAS DE MEDINA,VALLADOLID Y ALFOZ,VEGA DEL DUERO;;;-4.871233;41.518245;343862.15;4597980.21;41.518244999063526,-4.871233;0
VILLAVELLID;227;VALLADOLID;47;47227;51;SERMAN (SERVICIOS MANCOMUNADOS);;;-5.278865;41.694126;310362.84;4618325.45;41.694125999062855,-5.278864999999999;0
